DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Blatná na Ostrove;Blatná na Ostrove;Dunajská Streda;930 32;Blatná na Ostrove;Blatná na Ostrove;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Blatná Polianka;Blatná Polianka;Sobrance;072 44;Blatné Remety;Blatné Remety;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Blatné;Blatné;Senec;900 82;Blatné pri Senci;Blatné pri Senci;108;BL;;;;;;;;;;;;;;;;;;;;;;;
Blatné Remety;Blatné Remety;Sobrance;072 44;Blatné Remety;Blatné Remety;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Blatné Revištia;Blatné Revištia;Sobrance;072 43;Sobrance;Sobrance;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Blatnica;Blatnica;Martin;038 15;Blatnica pri Martine;Blatnica pri Martine;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Blaice;Blaice;Košice - okolie;044 16;Bohdanovce pri Košiciach;Bohdanovce pri Koš.;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Blaková;Blaková;Èadca;023 11;Zákopèie;Zákopèie;502;ZI;;;;;;;;;;;;;;;;;;;;;;;
Blaovce;Blaovce;Turèianske Teplice;038 44;Malı Èepèín;Malı Èepèín;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Blesovce;Blesovce;Topo¾èany;956 01;Bojná;Bojná;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Blhovce;Blhovce;Rimavská Sobota;980 32;Blhovce;Blhovce;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Bobot;Bobot;Trenèín;913 25;Bobot;Bobot;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Bobrov;Bobrov;Námestovo;029 42;Bobrov;Bobrov;507;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bobrovèek;Bobrovèek;Liptovskı Mikuláš;032 21;Bobrovec;Bobrovec;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bobrovec;Bobrovec;Liptovskı Mikuláš;032 21;Bobrovec;Bobrovec;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bobrovec-Škorupovo;Bobrovec;Liptovskı Mikuláš;031 05;Liptovskı Mikuláš 1;Liptovskı Mikuláš 1;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bobrovník;Bobrovník;Liptovskı Mikuláš;032 23;Liptovská Sielnica;Liptovská Sielnica;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Boèiar;Boèiar;Košice - okolie;044 57;Haniska pri Košiciach;Haniska p. Košiciach;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Bodíky;Bodíky;Dunajská Streda;930 31;Vojka nad Dunajom;Vojka nad Dunajom;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Bodiná;Bodiná;Povaská Bystrica;018 15;Preèín;Preèín;306;TC;;;;;;;;;;;;;;;;;;;;;;;
Bodorová;Bodorová;Turèianske Teplice;038 45;Malı Èepèín;Malı Èepèín;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Bodovce;Bodovce;Sabinov;082 66;Uzovce;Uzovce;708;PV;;;;;;;;;;;;;;;;;;;;;;;
